Id,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,Name,Symbol
6e614da5-33bb-4c66-4b7e-8612c8ece003,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Karbovanet,UAK
9014ae50-fd1f-4f29-4058-9f2969ec0e76,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kenyan Shilling,KES
a9212122-72aa-47e5-481b-e9138ca2e520,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kina,PGK
d0a9df80-5ae8-4bcb-46ac-8a79ec9f4295,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Koruna,CSK
3fb3c2f2-6e8d-4235-4915-79e072b44435,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Krona A/53,CSJ
487723c6-2489-4ec2-4ab4-bcebb14b987b,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kroon,EEK
49b60f0c-8ac9-4bd3-455d-24e790634cc6,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kuwaiti Dinar,KWD
d2837897-bc0a-4ae2-445c-23f2e2d3dddb,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kwacha,MWK
de3a766a-5b77-442c-4d11-73afc76bc045,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kwanza,AOA
18d1cf3a-a6a1-4186-4325-171fa8ab6f37,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kwanza Reajustado,AOR
cdac0d62-da43-4d93-4308-a965338f73c5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Kyat,MMK
5764bb25-fd03-4268-4016-d9873ac9d2cb,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lao Kip,LAK
f37aca5c-4ca3-44c9-4469-6a62494ddcf4,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lari,GEL
b6319616-89a1-45b4-4ae8-6636f34de0e9,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Latvian Lats,LVL
6e6cd31f-1589-42fe-4028-cd4bdf19be70,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Latvian Ruble,LVR
9cf7ee0f-dfc2-45a9-4124-0f42b8ac2883,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lebanese Pound,LBP
638aa5e3-d30d-46cb-49c3-a2b2ca77b359,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lek,ALL
0cccc8f6-4380-446d-4c66-d654352e6405,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lempira,HNL
300ca4e9-6bf4-4710-45f5-0770717592be,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Leone,SLL
865dc4a2-ca64-4177-452f-382f48b83160,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Leu A/52,ROK
389b3537-e535-47d9-4027-ff1e5e854b6a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lev,BGL
124a1b2a-2805-4a6d-42d4-aeee57f6dab7,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lev A/52,BGJ
064aba90-e7c8-4b20-464e-c703194cdd6c,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lev A/62,BGK
5835b52d-e88b-4334-410a-630ea8156bbc,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Liberian Dollar,LRD
22bcb98e-9187-4887-4ab7-ee5215502293,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Libyan Dinar,LYD
36a99efe-6bdf-426d-4687-702a9e2994d2,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lilangeni,SZL
bc52b280-66fb-40bb-4f76-e600e9e68581,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Lithuanian Litas,LTL
0e5711ce-f703-4a62-452f-c1196143b807,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Loti,LSL
bbf4d464-ed81-4b90-4707-88b17c9d0655,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Luxembourg Convertible Franc,LUC
7e75514e-cc0b-4efb-4f8e-48d8b42fc715,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Luxembourg Financial Franc,LUL
82ad2501-299c-4b26-4c77-b32f1e758e2a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Luxembourg Franc,LUF
e2058363-08cd-4760-4aa0-c9fd19ee37ff,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Malagasy Ariary,MGA
5b95d002-2b60-435f-4c59-f34e6181b5b2,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Malagasy Franc,MGF
441aad4f-4a4c-491d-44c5-f9dae21e4b8f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Malaysian Ringgit,MYR
29f06a24-d95c-44b9-4525-d4ddad491361,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Maldive Rupee,MVQ
c1997c94-2fbf-46ab-4ac3-103a840dab0f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mali Franc,MLF
14e4c1be-b642-49a8-469c-827cdf0d43aa,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Maltese Lira,MTL
